sentence_id,words,labels
14,sampling,ATTR
14,interval,ATTR
14,shall,O
14,be,O
14,better,RELOP
14,than,RELOP
14,0.05,QUANT
14,of,QUANT
14,ATL-GR-4,QUANT
14,value,O
14,(TBC).,O
15,The,O
15,vertical,ATTR
15,resolution,ATTR
15,shall,O
15,be,O
15,constant,RELOP
15,and,O
15,smaller,RELOP
15,than,RELOP
15,or,RELOP
15,equal,RELOP
15,to,RELOP
15,100,QUANT
15,m,QUANT
15,from,O
15,-0.5,O
15,km,O
15,to,O
15,20,O
15,km,O
15,and,O
15,smaller,RELOP
15,than,RELOP
15,or,RELOP
15,equal,RELOP
15,to,RELOP
15,500,QUANT
15,m,QUANT
15,with,O
15,a,O
15,target,RELOP
15,of,O
15,100,QUANT
15,m,QUANT
15,from,O
15,20,O
15,km,O
15,to,O
15,40,O
15,km,O
15,altitude.,O
16,The,O
16,knowledge,O
16,of,O
16,the,O
16,vertical,ATTR
16,resolution,ATTR
16,shall,O
16,be,O
16,better,RELOP
16,than,RELOP
16,0.05,QUANT
16,of,QUANT
16,ATL-GR-6,QUANT
16,value,O
16,(TBC).,O
17,The,O
17,altitude,ATTR
17,geo-location,ATTR
17,accuracy,ATTR
17,shall,O
17,be,O
17,better,RELOP
17,than,RELOP
17,100,QUANT
17,m,QUANT
17,rms.,O
18,The,O
18,horizontal,ATTR
18,sampling,ATTR
18,interval,ATTR
18,shall,O
18,be,O
18,smaller,RELOP
18,than,RELOP
18,or,RELOP
18,equal,RELOP
18,to,RELOP
18,200,QUANT
18,m.,O
18,100,O
18,m,QUANT
18,horizontal,O
18,sampling,O
18,interval,O
18,is,O
18,considered,O
18,as,O
18,ideal,O
18,from,O
18,science,O
18,point,O
18,of,O
18,view.,O
19,The,O
19,knowledge,O
19,of,O
19,the,O
19,horizontal,ATTR
19,sampling,ATTR
19,shall,O
19,be,O
19,better,RELOP
19,than,RELOP
19,0.05,QUANT
19,of,QUANT
19,ATL-GR-9,O
19,(TBC).,O
20,The,O
20,diameter,ATTR
20,of,O
20,the,O
20,receiver,ATTR
20,footprint,ATTR
20,shall,O
20,be,O
20,less,RELOP
20,than,RELOP
20,30,QUANT
20,metres.,O
21,The,O
21,accuracy,ATTR
21,of,O
21,the,O
21,derived,ENT
21,Mie,ENT
21,input,ENT
21,cross-polar,ENT
21,signal,ENT
21,shall,O
21,be,O
21,better,RELOP
21,than,RELOP
21,0.45,RELOP
21,in,O
21,the,O
21,cirrus,O
21,cloud,O
21,and,O
21,for,O
21,the,O
21,reference,O
21,atmospheric,O
21,scene,O
21,specified,O
21,in,O
21,Table,O
21,5.2-5.,O
21,This,O
21,shall,O
21,not,O
21,take,O
21,into,O
21,account,O
21,the,O
21,lidar,O
21,constant,O
21,knowledge.,O
22,The,O
22,radiometric,ATTR
22,stability,ATTR
22,for,O
22,each,O
22,channel,ENT
22,shall,O
22,be,O
22,better,RELOP
22,than,RELOP
22,0.01,O
22,(TBC).,O
23,The,O
23,accuracy,ATTR
23,of,O
23,the,O
23,Mie,ENT
23,co-polar,ENT
23,signal,ENT
23,L1B,ENT
23,product,ENT
23,shall,O
23,be,O
23,better,RELOP
23,than,RELOP
23,0.5,QUANT
23,in,O
23,the,O
23,cloud,O
23,of,O
23,backscatter,O
23,coefficient,O
23,8.10-7sr-1m-1,O
23,",",O
23,for,O
23,10,O
23,km,O
23,horizontal,O
23,integration,O
23,length,O
23,and,O
23,the,O
23,reference,O
23,atmospheric,O
23,scene,O
23,specified,O
23,in,O
23,Table,O
23,5.2-4.,O
24,The,O
24,accuracy,ATTR
24,of,O
24,the,O
24,Rayleigh,ENT
24,signal,ENT
24,L1B,ENT
24,product,ENT
24,shall,O
24,be,O
24,better,RELOP
24,than,RELOP
24,0.15,QUANT
24,below,O
24,and,O
24,above,O
24,the,O
24,cirrus,O
24,cloud,O
24,",",O
24,for,O
24,10km,O
24,horizontal,O
24,integration,O
24,length,O
24,and,O
24,the,O
24,reference,O
24,atmospheric,O
24,scene,O
24,specified,O
24,in,O
24,Table,O
24,5.2-4,O
25,The,O
25,accuracy,ATTR
25,of,O
25,the,O
25,Mie,ENT
25,cross-polar,ENT
25,signal,ENT
25,L1B,ENT
25,product,ENT
25,shall,O
25,be,O
25,better,RELOP
25,than,RELOP
25,0.5,QUANT
25,in,O
25,the,O
25,cirrus,O
25,cloud,O
25,and,O
25,for,O
25,the,O
25,reference,O
25,atmospheric,O
25,scene,O
25,specified,O
25,in,O
25,Table,O
25,5.2-5,O
25,.,O
26,Absolute,ATTR
26,in-flight,ATTR
26,calibration,ATTR
26,accuracy,ATTR
26,of,O
26,the,O
26,lidar,ENT
26,constant,ENT
26,shall,O
26,better,RELOP
26,than,RELOP
26,0.1,QUANT
26,(TBC),O
26,in,O
26,the,O
26,Mie,ENT
26,co-,ENT
26,polar,ENT
26,and,ENT
26,Rayleigh,ENT
26,channels,ENT
26,.,O
26,The,O
26,lidar,O
26,constant,O
26,in,O
26,the,O
26,Mie,O
26,cross-polar,O
26,channel,O
26,shall,O
26,be,O
26,calibrated,O
26,relatively,O
26,to,O
26,the,O
26,Mie,O
26,co-polar,O
26,channel,O
26,to,O
26,an,O
26,accuracy,O
26,better,O
26,than,O
26,0.15,O
26,with,O
26,a,O
26,target,O
26,of,O
26,0.1,O
26,(TBC).,O
27,The,O
27,radar,ENT
27,shall,O
27,perform,ACT
27,measurements,ATTR
27,at,O
27,the,O
27,frequency,ATTR
27,centred,O
27,at,O
27,94.05,QUANT
27,GHz,QUANT
27,+/-,RELOP
27,3.5,RELOP
27,MHz,RELOP
27,(TBC).,O
28,The,O
28,emitted,ENT
28,pulse,ENT
28,shall,O
28,have,O
28,a,O
28,duration,ATTR
28,of,O
28,3.3,QUANT
28,µs,QUANT
28,+/-,RELOP
28,TBD,RELOP
28,µs,RELOP
28,.,O
28,The,O
28,resulting,O
28,vertical,O
28,"resolution,",O
28,defined,O
28,as,O
28,the,O
28,half-power,O
28,width,O
28,of,O
28,the,O
28,impulse,O
28,response,O
28,"function,",O
28,shall,O
28,be,O
28,less,O
28,than,O
28,or,O
28,equal,O
28,to,O
28,400,O
28,±,O
28,TBD,O
28,m,O
28,(exact,O
28,value,O
28,depends,O
28,on,O
28,the,O
28,receiver,O
28,impulse,O
28,response).,O
33,Zmin,ATTR
33,shall,O
33,be,O
33,less,RELOP
33,than,RELOP
33,or,RELOP
33,equal,RELOP
33,to,RELOP
33,-35,QUANT
33,dBZ,QUANT
33,and,O
33,Zmax,ATTR
33,shall,O
33,be,O
33,higher,RELOP
33,than,RELOP
33,or,RELOP
33,equal,RELOP
33,to,RELOP
33,21,QUANT
33,Dbz,QUANT
33,.,O
29,The,O
29,vertical,ATTR
29,sampling,ATTR
29,interval,ATTR
29,shall,O
29,be,O
29,100,QUANT
29,m,QUANT
29,+/-,RELOP
29,TBD,RELOP
29,m,RELOP
29,.,O
30,The,O
30,nominal,ENT
30,instantaneous,ENT
30,radar,ENT
30,footprint,ENT
30,shall,O
30,have,O
30,a,O
30,diameter,ATTR
30,less,RELOP
30,than,RELOP
30,or,RELOP
30,equal,RELOP
30,to,RELOP
30,1,QUANT
30,km,QUANT
30,.,O
31,Overall,ATTR
31,pointing,ATTR
31,of,O
31,the,O
31,CPR,ENT
31,bore-sight,ENT
31,(including,O
31,satellite,O
31,effects),O
31,shall,O
31,be,O
31,maintained,ACT
31,to,O
31,within,O
31,2,QUANT
31,mrad,QUANT
31,(,O
31,1,RELOP
31,sigma,RELOP
31,),O
31,of,O
31,the,O
31,Earth,O
31,local,O
31,normal.,O
34,The,O
34,radiometric,ATTR
34,resolution,ATTR
34,of,O
34,the,O
34,instrument,ENT
34,shall,O
34,be,O
34,less,RELOP
34,than,RELOP
34,0.46,QUANT
34,at,O
34,the,O
34,lower,O
34,end,O
34,of,O
34,its,O
34,dynamic,O
34,range.,O
32,The,O
32,maximum,ATTR
32,data,ATTR
32,rate,ATTR
32,of,O
32,the,O
32,instrument,ENT
32,including,O
32,all,O
32,auxiliary,ENT
32,data,ENT
32,shall,O
32,be,O
32,270,QUANT
32,(TBC),O
32,kbits/s,QUANT
35,The,O
35,spurious,ENT
35,response,ENT
35,at,O
35,1,O
35,km,O
35,altitude,O
35,due,O
35,to,O
35,the,O
35,ground,O
35,clutter,O
35,shall,O
35,not,ACT
35,exceed,ACT
35,the,O
35,level,O
35,returned,O
35,from,O
35,cloud,O
35,at,O
35,1,O
35,km,O
35,altitude,O
35,having,O
35,a,O
35,reflectivity,ATTR
35,factor,ATTR
35,of,O
35,33,O
35,dBZ.,O
36,The,O
36,radiometric,ATTR
36,stability,ATTR
36,over,ATTR
36,one,ATTR
36,orbit,ATTR
36,shall,O
36,be,O
36,better,RELOP
36,(less),RELOP
36,than,RELOP
36,or,RELOP
36,equal,RELOP
36,to,RELOP
36,0.3,QUANT
36,dB,QUANT
36,.,O
37,The,O
37,orbit-to-orbit,ATTR
37,radiometric,ATTR
37,stability,ATTR
37,shall,O
37,be,O
37,better,RELOP
37,(less),RELOP
37,than,RELOP
37,or,RELOP
37,equal,RELOP
37,to,RELOP
37,0.5,QUANT
37,dB,QUANT
37,.,O
38,The,O
38,External,ATTR
38,Calibration,ATTR
38,error,ATTR
38,shall,O
38,be,O
38,better,RELOP
38,(less),RELOP
38,than,RELOP
38,or,RELOP
38,equal,RELOP
38,to,RELOP
38,1,QUANT
38,dB,QUANT
38,.,O
39,The,O
39,background,ATTR
39,brightness,ATTR
39,temperature,ATTR
39,of,O
39,the,O
39,Earth,ENT
39,surface,O
39,shall,O
39,be,O
39,taken,O
39,to,O
39,lie,O
39,between,O
39,120,O
39,K,O
39,and,O
39,300,O
39,K.,O
40,The,O
40,maximum,ATTR
40,data,ATTR
40,generated,ATTR
40,per,ATTR
40,orbit,ATTR
40,by,O
40,the,O
40,CPR,ENT
40,shall,O
40,not,RELOP
40,exceed,RELOP
40,187.5,QUANT
40,Mbytes,QUANT
40,(TBC).,O
41,This,O
41,time,ENT
41,reference,ENT
41,shall,O
41,be,O
41,employed,O
41,to,O
41,time,ACT
41,stamp,ACT
41,the,O
41,instrument,ENT
41,science,ENT
41,data,ENT
41,to,O
41,an,O
41,accuracy,ATTR
41,of,O
41,better,RELOP
41,than,RELOP
41,0.015,QUANT
41,ms,QUANT
41,with,O
41,respect,O
41,to,O
41,the,O
41,satellite,ATTR
41,time,ATTR
41,standard.,O
42,The,O
42,minimum,RELOP
42,Molecular,ATTR
42,Cleanliness,ATTR
42,Level,ATTR
42,for,O
42,CPR,ENT
42,shall,O
42,be,O
42,maintained,ACT
42,at,O
42,5x10-7gcm-2,O
42,.,QUANT
43,The,O
43,minimum,RELOP
43,Particulate,ATTR
43,Cleanliness,ATTR
43,Level,ATTR
43,for,O
43,CPR,ENT
43,shall,O
43,be,O
43,maintained,ACT
43,at,O
43,300mm2/m2,O
43,.,QUANT
44,No,ACT
44,malfunction,ACT
44,shall,O
44,occur,O
44,when,O
44,the,O
44,CPR,ENT
44,is,O
44,submitted,O
44,to,O
44,a,O
44,direct,O
44,repetitive,O
44,arc,O
44,discharge,O
44,of,O
44,at,O
44,least,O
44,TBD,O
44,mJ,O
44,energy.,O
45,No,ACT
45,malfunction,ACT
45,shall,O
45,occur,O
45,when,O
45,the,O
45,CPR,ENT
45,is,O
45,submitted,O
45,to,O
45,a,O
45,indirect,O
45,repetitive,O
45,arc,O
45,discharge,O
45,of,O
45,at,O
45,least,O
45,TBD,O
45,mJ,O
45,energy.,O
46,For,O
46,any,O
46,spectral,ENT
46,channel,ENT
46,",",O
46,the,O
46,out-of-band,ATTR
46,(OOB),ATTR
46,rejection,ATTR
46,shall,O
46,be,RELOP
46,less,RELOP
46,than,RELOP
46,0.03,QUANT
46,(TBC),O
46,(,O
46,0.01,QUANT
46,goal,RELOP
46,).,O
47,The,O
47,spatial,ATTR
47,sampling,ATTR
47,at,O
47,SSP,O
47,shall,O
47,be,O
47,smaller,RELOP
47,than,RELOP
47,or,RELOP
47,equal,RELOP
47,to,RELOP
47,500,QUANT
47,m,QUANT
47,.,O
48,The,O
48,spatial,ATTR
48,sampling,ATTR
48,distance,ATTR
48,at,O
48,SSP,O
48,in,O
48,the,O
48,along-track,O
48,direction,O
48,shall,O
48,be,O
48,constant,RELOP
48,within,O
48,±,RELOP
48,0.01,RELOP
48,.,O
49,The,O
49,inter-channel,ATTR
49,spatial,ATTR
49,co-registration,ATTR
49,shall,O
49,be,O
49,smaller,RELOP
49,than,RELOP
49,0.15,QUANT
49,SSD,QUANT
49,(,O
49,goal,RELOP
49,:,O
49,0.1,QUANT
49,SSD,QUANT
49,),O
49,for,O
49,a,O
49,target,O
49,located,O
49,anywhere,O
49,in,O
49,the,O
49,altitude,O
49,range,O
49,0,O
49,,O
49,20,O
49,km.,O
49,For,O
49,VIS/NIR,O
49,pair,O
49,of,O
49,spectral,O
49,channels,O
49,the,O
49,requirement,O
49,is,O
49,applicable,O
49,at,O
49,level,O
49,0,O
49,and,O
49,higher,O
49,level.,O
49,For,O
49,any,O
49,other,O
49,pair,O
49,of,O
49,spectral,O
49,channels,O
49,the,O
49,requirement,O
49,is,O
49,applicable,O
49,at,O
49,level,O
49,1c,O
49,(goal:,O
49,level,O
49,0,O
49,and,O
49,higher,O
49,level).,O
50,The,O
50,inter-channel,ATTR
50,temporal,ATTR
50,co-registration,ATTR
50,shall,O
50,be,O
50,smaller,RELOP
50,than,RELOP
50,2.5,QUANT
50,sec,QUANT
50,.,O
51,The,O
51,MSI,ATTR
51,polarization,ATTR
51,sensitivity,ATTR
51,shall,O
51,be,O
51,less,RELOP
51,than,RELOP
51,0.1,QUANT
51,(,O
51,0.04,QUANT
51,goal,RELOP
51,),O
51,in,O
51,the,O
51,TIR,O
51,channels.,O
52,The,O
52,minimum,RELOP
52,Molecular,ATTR
52,Cleanliness,ATTR
52,Level,ATTR
52,for,O
52,BBR,ENT
52,optical,ENT
52,components,ENT
52,shall,O
52,be,O
52,maintained,ACT
52,at,O
52,5x10-7gcm-2,QUANT
52,.,O
53,The,O
53,minimum,RELOP
53,Molecular,ATTR
53,Cleanliness,ATTR
53,Level,ATTR
53,for,O
53,BBR,ENT
53,non-optical,ENT
53,components,ENT
53,shall,O
53,be,O
53,maintained,ACT
53,at,O
53,5x10-7gcm-2,QUANT
53,.,O
54,The,O
54,minimum,RELOP
54,Particulate,ATTR
54,Cleanliness,ATTR
54,Level,ATTR
54,for,O
54,BBR,ATTR
54,optical,ATTR
54,components,ATTR
54,shall,O
54,be,O
54,maintained,ENT
54,at,O
54,50mm2/m2,QUANT
54,.,O
55,The,O
55,minimum,RELOP
55,Molecular,ATTR
55,Cleanliness,ATTR
55,Level,ATTR
55,for,O
55,BBR,ATTR
55,non-optical,ATTR
55,components,ATTR
55,shall,O
55,be,O
55,maintained,ACT
55,at,O
55,300mm2/m2,QUANT
55,.,O
56,BBR,ENT
56,shall,O
56,measure,ACT
56,Earth,ATTR
56,radiance,ATTR
56,in,O
56,the,O
56,short,ENT
56,wave,ENT
56,(SW),ENT
56,channel,ENT
56,[,O
56,<,RELOP
56,0.2,QUANT
56,µm,QUANT
56,",",O
56,4,QUANT
56,µm,QUANT
56,].,O
57,BBR,ENT
57,shall,O
57,measure,ACT
57,Earth,ATTR
57,radiance,ATTR
57,in,O
57,the,O
57,total,ENT
57,wave,ENT
57,(TW),ENT
57,channel,ENT
57,[,O
57,<,RELOP
57,0.2,QUANT
57,µm,QUANT
57,",",O
57,>,RELOP
57,50,QUANT
57,µm,QUANT
57,].,O
58,The,O
58,spatial,ATTR
58,sampling,ATTR
58,distance,ATTR
58,along,O
58,track,O
58,shall,O
58,be,O
58,constant,RELOP
58,within,RELOP
58,±1%,RELOP
58,and,O
58,smaller,RELOP
58,than,RELOP
58,or,RELOP
58,equal,RELOP
58,to,RELOP
58,1km,QUANT
58,.,O
59,The,O
59,integrated,ATTR
59,energy,ATTR
59,over,O
59,a,O
59,square,O
59,target,O
59,of,O
59,size,O
59,1.5,O
59,x,O
59,dX,O
59,shall,O
59,be,O
59,at,RELOP
59,least,RELOP
59,0.99,QUANT
59,.,O
60,The,O
60,instrument,ATTR
60,polarisation,ATTR
60,sensitivity,ATTR
60,shall,O
60,be,O
60,less,RELOP
60,than,RELOP
60,0.01,RELOP
60,in,O
60,the,O
60,spectral,O
60,range,O
60,0.2µm,O
60,,O
60,4.0µm.,O
60,BBR-PS-2,O
60,The,O
60,instrument,O
60,polarisation,O
60,sensitivity,O
60,beyond,O
60,4,O
60,µm,O
60,shall,O
60,be,O
60,minimised.,O
61,The,O
61,absolute,ATTR
61,radiometric,ATTR
61,accuracy,ATTR
61,of,O
61,the,O
61,measured,ATTR
61,radiance,ATTR
61,shall,O
61,be,O
61,less,RELOP
61,than,RELOP
61,2.5,QUANT
61,W,QUANT
61,m-2,QUANT
61,sr-1,QUANT
61,(,O
61,2,QUANT
61,W,QUANT
61,m-2,QUANT
61,sr-1,QUANT
61,goal,RELOP
61,),O
61,in,O
61,the,O
61,SW,ENT
61,channel,ENT
62,The,O
62,absolute,ATTR
62,radiometric,ATTR
62,accuracy,ATTR
62,of,O
62,the,O
62,measured,ATTR
62,radiance,ATTR
62,shall,O
62,be,O
62,less,RELOP
62,than,RELOP
62,1.5,QUANT
62,W,QUANT
62,m-2,QUANT
62,sr-1,QUANT
62,in,O
62,the,O
62,LW,ENT
62,channel,O
62,.,O
63,The,O
63,instrument,ATTR
63,linearity,ATTR
63,shall,O
63,be,O
63,better,RELOP
63,than,RELOP
63,0.005,QUANT
63,.,O
64,Assuming,O
64,a,O
64,stable,O
64,and,O
64,spatially,O
64,uniform,O
64,"scene,",O
64,the,O
64,level,ENT
64,1b,ENT
64,data,ENT
64,acquired,O
64,in,O
64,the,O
64,SW,ENT
64,and,ENT
64,TW,ENT
64,channels,ENT
64,shall,O
64,be,O
64,constant,RELOP
64,to,RELOP
64,better,RELOP
64,than,RELOP
64,0.5,QUANT
64,%,QUANT
64,(,O
64,goal,RELOP
64,:,O
64,0.1,QUANT
64,%,QUANT
64,),O
64,over,O
64,the,O
64,orbit.,O
65,The,O
65,minimum,RELOP
65,Molecular,ATTR
65,Cleanliness,ATTR
65,Level,ATTR
65,for,O
65,EarthCARE,ENT
65,spacecraft,ENT
65,in,O
65,vicinity,O
65,of,O
65,critical,O
65,units,O
65,and,O
65,in,O
65,laser,O
65,beam,O
65,vicinity,O
65,shall,O
65,be,O
65,maintained,ACT
65,at,O
65,1x10-7gcm-2,QUANT
65,.,O
66,The,O
66,minimum,RELOP
66,Molecular,ATTR
66,Cleanliness,ATTR
66,Level,ATTR
66,for,O
66,EarthCARE,ENT
66,spacecraft,ENT
66,in,O
66,vicinity,O
66,of,O
66,critical,O
66,units,O
66,and,O
66,out,O
66,of,O
66,laser,O
66,beam,O
66,vicinity,O
66,shall,O
66,be,O
66,maintained,ACT
66,at,O
66,5x10-7gcm-2,QUANT
66,.,O
67,The,O
67,minimum,RELOP
67,Molecular,ATTR
67,Cleanliness,ATTR
67,Level,ATTR
67,for,O
67,EarthCARE,ENT
67,spacecraft,ENT
67,optical,ENT
67,components,ENT
67,away,O
67,from,O
67,critical,O
67,units,O
67,shall,O
67,be,O
67,maintained,ACT
67,at,O
67,5x10-7gcm-2,QUANT
67,.,O
68,The,O
68,minimum,RELOP
68,Molecular,ATTR
68,Cleanliness,ATTR
68,Level,ATTR
68,for,O
68,EarthCARE,ENT
68,spacecraft,ENT
68,non-optical,ENT
68,components,ENT
68,away,O
68,from,O
68,critical,O
68,units,O
68,shall,O
68,be,O
68,maintained,ACT
68,at,O
68,5x10-7gcm-2,QUANT
68,.,O
69,The,O
69,minimum,RELOP
69,Particulate,ATTR
69,Cleanliness,ATTR
69,Level,ATTR
69,for,O
69,EarthCARE,ENT
69,spacecraft,ENT
69,in,O
69,vicinity,O
69,of,O
69,critical,O
69,units,O
69,and,O
69,in,O
69,laser,O
69,beam,O
69,vicinity,O
69,shall,O
69,be,O
69,maintained,ACT
69,at,O
69,10mm2/m2,QUANT
69,.,O
70,The,O
70,minimum,RELOP
70,Particulate,ATTR
70,Cleanliness,ATTR
70,Level,ATTR
70,for,O
70,EarthCARE,ENT
70,spacecraft,ENT
70,in,O
70,vicinity,O
70,of,O
70,critical,O
70,units,O
70,and,O
70,out,O
70,of,O
70,laser,O
70,beam,O
70,vicinity,O
70,shall,O
70,be,O
70,maintained,ACT
70,at,O
70,10mm2/m2,QUANT
70,.,O
71,The,O
71,minimum,RELOP
71,Particulate,ATTR
71,Cleanliness,ATTR
71,Level,ATTR
71,for,O
71,EarthCARE,ENT
71,spacecraft,ENT
71,optical,ENT
71,components,ENT
71,away,O
71,from,O
71,critical,O
71,units,O
71,shall,O
71,be,O
71,maintained,ACT
71,at,O
71,50mm2/m2,QUANT
71,.,O
72,The,O
72,minimum,RELOP
72,Particulate,ATTR
72,Cleanliness,ATTR
72,Level,ATTR
72,for,O
72,EarthCARE,ENT
72,spacecraft,ENT
72,non-optical,ENT
72,components,ENT
72,away,O
72,from,O
72,critical,O
72,units,O
72,shall,O
72,be,O
72,maintained,ACT
72,at,O
72,300mm2/m2,QUANT
72,.,O
73,At,O
73,equipment,O
73,level,O
73,and,O
73,for,O
73,any,O
73,EarthCARE,O
73,"units,",O
73,the,O
73,following,O
73,design,ATTR
73,maturity,ATTR
73,power,ATTR
73,margins,ATTR
73,of,O
73,0.05,QUANT
73,shall,O
73,apply,O
73,for,O
73,Off-The-Shelf,ENT
73,(OTS),ENT
73,equipment,ENT
73,(ECSS,O
73,category,O
73,A/B),O
74,At,O
74,equipment,O
74,level,O
74,and,O
74,for,O
74,any,O
74,EarthCARE,O
74,"units,",O
74,the,O
74,following,O
74,design,ATTR
74,maturity,ATTR
74,power,ATTR
74,margins,ATTR
74,of,O
74,0.1,QUANT
74,shall,O
74,apply,O
74,for,O
74,OTS,ENT
74,items,ENT
74,requiring,ENT
74,minor,ENT
74,modifications,ENT
74,(ECSS,O
74,category,O
74,C).,O
75,At,O
75,equipment,O
75,level,O
75,and,O
75,for,O
75,any,O
75,EarthCARE,O
75,"units,",O
75,the,O
75,following,O
75,design,ATTR
75,maturity,ATTR
75,power,ATTR
75,margins,ATTR
75,of,O
75,0.2,QUANT
75,shall,O
75,apply,O
75,for,O
75,new,ENT
75,designed/developed,ENT
75,items,ENT
75,",",O
75,or,O
75,items,ENT
75,requiring,ENT
75,major,ENT
75,modifications,ENT
75,or,ENT
75,re-,ENT
75,design,ENT
75,(ECSS,O
75,category,O
75,D).,O
76,The,O
76,COM,ENT
76,TTC,ENT
76,Terminal,ENT
76,shall,O
76,support,ACT
76,a,O
76,date,ATTR
76,rates,ATTR
76,of,O
76,up,RELOP
76,to,RELOP
76,8,QUANT
76,kbps,QUANT
76,(baseline),O
